"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","赎回状态"
"110044.SH","广电转债","2024-04-02","183.38","184.447","180.629","180.71","-0.012556828116803698","-0.01577290500283801","广电网络","4.53","4.4","4.44","0.0022573363431153126","0.013698630411846713","18814","3432.4853","0.4666829538574478","0.4213395326865051","0.004504","65.10263929618769","1.7757707207207205","0.6663163501116613","1.1094543706090592","107.396226543532","0.6826475735323065","0.1098515130296695","107.50607805656166","0.40509059788300783","358.2870720720721","0.70647","1.276661937","0.26886407438964793","0.8492","","1.1946","31.547006040000003","31.547006040000003","0.6879676680132364","0.040468560958883314","2080","2024-06-26","0.2356164383561644","-0.8903486964979298","1.3","AA","","地方国有企业","陕西","文化传媒","广播电视","有线电视","0/15 | 30"
"110047.SH","山鹰转债","2024-04-02","107.6","107.928","107.6","107.893","0.002555334609452009","-0.008363739963735739","山鹰国际","1.87","1.84","1.85","0","1.6540235847628537e-10","25768","2777.7799","0.05591011686794413","0.21336822781389986","0","78.05907172995781","0.3821968108108107","0.420782147052263","-0.03858533624145233","111.29649148907018","-0.030580402342731627","0.58076744982681","111.87725893889699","-0.0369278724189428","146.11268108108106","22.46118","24.234040937400003","0.011462305882767976","0.6399","","0.2768","82.70557249000001","82.70557249000001","0.7185676533409675","0.2930158175294677","1941","2024-11-20","0.6383561643835617","0.07547302094852103","1.3","AA+","7+","民营企业","安徽","轻工制造","造纸印刷","造纸","0/15 | 30"
"110048.SH","福能转债","2024-04-02","188.2","191.155","187.635","188.291","0.00031344298525226577","0.03346432940851729","福能股份","10.6","10.44","10.55","0.006679389312977069","0.04352126619263119","76577","14443.0805","0.2168355463225428","0.23429282575100932","0.028939","189.4075403949731","-0.005894909952606775","0.008099946302479382","-0.013994856255086157","107.24329595241106","0.7557367882795549","90.93510537065197","198.17840132306304","-0.052511279472003736","187.7015090047393","11.65596","21.9471236436","0.06580853479727738","1.2991","10.3103","1.7445","270.16319772","270.16319772","0.4659087798270367","0.08123654083464851","1923","2024-12-06","0.6821917808219178","-0.5527026791424486","1.3","AA+","5+","地方国有企业","福建","公用事业","电力","火电","公告不强赎"
"110052.SH","贵广转债","2024-04-02","122.29","122.567","120.414","120.595","-0.015872368206300003","-0.0014738392086259822","贵广网络","8.14","7.81","7.87","-0.039072039072039044","0.008974359763278983","26608","3226.5423","0.23176211262355229","0.41263552378339313","0","99.1183879093199","0.21667636594663264","0.19933835855131843","0.017338007395314214","110.52451081808724","0.09111543771940167","16.057421982617925","126.58193280070516","-0.04964495045984618","142.26263659466326","2.6411100618","3.1850466790277108","0.10130282614837396","1.9632","","2.6492","95.28158081000001","95.28158081000001","0.7003171393368447","0.033427727079580874","1832","2025-03-04","0.9232876712328767","-0.06822549438725352","1.3","AA+","6-","地方国有企业","贵州","文化传媒","广播电视","有线电视","公告不强赎"
"110055.SH","伊力转债","2024-04-02","148.401","149.284","145.01","145.868","-0.0190384602451934","0.01875934151382541","伊力特","21.61","20.92","21.02","-0.027302174919018984","-0.026401111456791804","25533","3742.3918","0.28980505940576123","0.30034335190448175","0.019504","134.83001924310454","0.0818658991436727","0.05615292375232608","0.025712975391346628","107.45202047522561","0.3575175167006903","39.26190551202081","146.71392598724643","-0.005799256774936534","154.05458991436726","2.43067","3.5455697156","0.10555121179916477","2.712","38.9534","5.0622","99.21140549","99.21140549","0.18887196661059913","0.035737521286878404","1826","2025-03-14","0.9506849315068493","-0.25749038792683326","1.3","AA","6","地方国有企业","新疆","食品饮料","饮料","白酒","公告不强赎"
"110058.SH","永鼎转债","2024-04-02","125.8","125.889","123.9","124.289","-0.012403655145013848","-0.010626950066044305","永鼎股份","5.01","4.86","4.9","-0.02390438247011939","-0.019999999378383926","23140","2881.3478","0.5604287305146881","0.6134225539942707","0","97.22222222222223","0.2784011428571427","0.2132090335639257","0.06519210929321698","107.18567922986904","0.15956721917534722","23.650885237268643","130.8365644671377","-0.052680160489968486","152.12911428571428","2.5987700416","3.229985297004224","0.08920622030918898","2.2749","29.7122","1.6855","68.24916554","68.82230677999999","0.596794044287904","0.04693224403723226","1792","2025-04-15","1.0383561643835617","-0.09858525956425575","1.3","AA-","8","民营企业","江苏","信息技术","通信设备","通信传输设备","0/15 | 30"
"110059.SH","浦发转债","2024-04-02","108.964","109.044","108.922","109.017","0.0006149609912804443","0.0007986780502007296","浦发银行","7.31","7.22","7.27","0.0055325034578146415","0.016783216817659596","143617","15652.3788","0.012089359792432244","0.15062625080073","0.044017","54.909365558912384","0.9853990096286107","0.9566012007048386","0.02879780892377215","109.1421076056889","-0.001146281746188249","0.005449812457003354","109.14755741814591","-0.0011975876986700662","207.55690096286105","499.98583021760004","545.069552528321","0.0028716296346761594","0.3539","5.8141","1.2304","2133.90325685","2133.90325685","0.9189140902776487","0.2554331133703481","1601","2025-10-27","1.5726027397260274","0.02473048517736562","1.3","AAA","2","地方国有企业","上海","金融","银行","股份制与城商行","0/15 | 30"
"110060.SH","天路转债","2024-04-02","122.034","122.679","120.288","120.618","-0.010589866211682564","0.011030829536142761","西藏天路","4.11","4","4.02","-0.017114914425427896","0.015151515838877527","25570","3090.3789","0.3490021362045344","0.526850467152472","0","96.40287769784172","0.25118671641791046","0.21949743945195804","0.03168927696595242","107.46517866349605","0.12239147135919404","24.893754027256584","132.35893269075262","-0.09733980575662526","145.73667164179105","5.65366","6.8193316188","0.04531791490356961","1.3265","","1.2783","49.36205689","49.43417634","0.630419139791893","0.13794771398430464","1588","2025-10-27","1.5726027397260274","-0.04767422234871123","1.3","AA","6-","地方国有企业","西藏","建材","水泥","水泥","0/15 | 30"
"110062.SH","烽火转债","2024-04-02","115.431","115.66","114.701","115.006","-0.0036818532283354743","-0.004337399389873653","烽火通信","18.14","17.56","17.71","-0.02638812534359536","0.007968128038739586","17363","1997.1833","0.16973563509125197","0.4592543197179494","0.006217","78.12086457873842","0.4721547261434218","0.41986072039746136","0.05229400574596044","103.65791194520217","0.10947633269708246","12.44548301206445","116.10339495726663","-0.009542066998822873","162.2214726143422","30.876","35.50925256","0.005624402531777763","1.8028","48.6052","0.6571","203.54441934","209.95059211","0.7188385905806707","0.16913147137682535","1561","2025-12-01","1.6684931506849314","-0.03847146244946815","1.3","AAA","5","中央国有企业","湖北","信息技术","通信设备","通信传输设备","0/15 | 30"
"110063.SH","鹰19转债","2024-04-02","99.979","100.23","99.3","99.561","-0.0033634643682993737","-0.015913651135511353","山鹰国际","1.87","1.84","1.85","0","1.6540235847628537e-10","39816","3966.3809","0.08562452032324597","0.21336822781389986","0","78.05907172995781","0.27545713513513514","0.420782147052263","-0.14532501191712788","108.36494175241705","-0.08124345023440827","3.1228527193238147","111.48779447174087","-0.1197938396735756","127.10671351351353","18.4441600446","18.363190182004207","0.021599628717492807","0.6399","","0.2768","82.70557249000001","82.70557249000001","0.7185676533409675","0.22203086961552096","1552","2025-12-12","1.6986301369863013","0.07840048060489538","1.3","AA+","7+","民营企业","安徽","轻工制造","造纸印刷","造纸","0/15 | 30"
